[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,000 | Decklink model name: '', version: ''
[0x00002c40] | DVIP                 | INFO  | 2020-07-21 12:34:04,000 | DVIP Version : 16.2.3, Revision r006363-6b7f266d, Branch release/16.2.3 (Release)
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,005 | Resolve Module Handle 00007FF6A4E20000
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,755 | Installed custom font: Open Sans
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,756 | Installed custom font: Open Sans Semibold
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,757 | Installed custom font: Open Sans
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:04,766 | Finished loading Application style sheet
[0x00002e2c] | LeManager            | INFO  | 2020-07-21 12:34:05,070 | 521, 38
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,926 | Memory config: reserved=4000M pinned=3000M log=0
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,926 | Using default pooled memory manager
[0x00000ba4] | BtCommon             | INFO  | 2020-07-21 12:34:05,926 | BtResourceManager Process Thread Started
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,993 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,994 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,996 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:05,998 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:06,000 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:06,002 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:06,004 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | BtCommon             | INFO  | 2020-07-21 12:34:06,006 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x00002c40] | SyManager            | INFO  | 2020-07-21 12:34:06,017 | Total: 20, NumDtThreads: 8, NumComms: 0, NumSites: 1

[0x00002c40] | SyManager            | INFO  | 2020-07-21 12:34:06,017 | Lookaheads -> playback = 20, record = 20, stop = 2

[0x00000824] | GsManager            | INFO  | 2020-07-21 12:34:06,019 | Gs Processor Thread ----- (2084)

[0x00002c40] | DtManager            | INFO  | 2020-07-21 12:34:06,019 | Using 8 generic IO threads
[0x00002c40] | DtManager            | INFO  | 2020-07-21 12:34:06,019 | Total of 16 IO threads (including 8 generic and 8 Red decode threads)
[0x00000780] | DtManager            | INFO  | 2020-07-21 12:34:06,020 | Dt Worker Thread Started
[0x00003324] | DtManager            | INFO  | 2020-07-21 12:34:06,020 | Dt Worker Thread Started
[0x0000360c] | DtManager            | INFO  | 2020-07-21 12:34:06,020 | Dt Worker Thread Started
[0x000046f0] | DtManager            | INFO  | 2020-07-21 12:34:06,020 | Dt Worker Thread Started
[0x0000369c] | DtManager            | INFO  | 2020-07-21 12:34:06,021 | Dt Worker Thread Started
[0x0000508c] | DtManager            | INFO  | 2020-07-21 12:34:06,021 | Dt Worker Thread Started
[0x0000357c] | DtManager            | INFO  | 2020-07-21 12:34:06,022 | Dt Worker Thread Started
[0x00000fd4] | DtManager            | INFO  | 2020-07-21 12:34:06,022 | Dt Worker Thread Started
