t, E_left, E_center, E_right, E_exact_left, E_exact_center, E_exact_right
0.00824448,136.866,135.557,133.989,0,0,0
0.00826104,136.867,135.558,133.99,0,0,0
0.00827759,136.867,135.56,133.991,0,0,0
0.00829415,136.868,135.562,133.993,0,0,0
0.0083107,136.868,135.563,133.994,0,0,0
0.00832726,136.868,135.565,133.996,0,0,0
0.00834381,136.869,135.567,133.997,0,0,0
0.00836037,136.869,135.569,133.998,0,0,0
0.00837692,136.87,135.57,134,0,0,0
0.00839348,136.87,135.572,134.001,0,0,0
0.00841003,136.87,135.574,134.003,0,0,0
0.00842659,136.871,135.575,134.004,0,0,0
0.00844314,136.871,135.577,134.005,0,0,0
0.0084597,136.872,135.579,134.007,0,0,0
0.00847625,136.872,135.58,134.008,0,0,0
0.00849281,136.872,135.582,134.01,0,0,0
0.00850936,136.873,135.584,134.011,0,0,0
0.00852592,136.873,135.585,134.013,0,0,0
0.00854247,136.874,135.587,134.014,0,0,0
0.00855903,136.874,135.589,134.016,0,0,0
0.00857559,136.874,135.59,134.017,0,0,0
0.00859214,136.875,135.592,134.018,0,0,0
0.0086087,136.875,135.594,134.02,0,0,0
0.00862525,136.876,135.595,134.021,0,0,0
0.00864181,136.876,135.597,134.023,0,0,0
0.00865836,136.876,135.599,134.024,0,0,0
0.00867492,136.877,135.6,134.025,0,0,0
0.00869147,136.877,135.602,134.027,0,0,0
0.00870803,136.877,135.603,134.028,0,0,0
0.00872458,136.878,135.605,134.03,0,0,0
0.00874114,136.878,135.607,134.031,0,0,0
0.00875769,136.879,135.608,134.032,0,0,0
0.00877425,136.879,135.61,134.034,0,0,0
0.0087908,136.879,135.611,134.035,0,0,0
0.00880736,136.88,135.613,134.037,0,0,0
0.00882391,136.88,135.615,134.038,0,0,0
0.00884047,136.88,135.616,134.04,0,0,0
0.00885702,136.881,135.618,134.041,0,0,0
0.00887358,136.881,135.619,134.043,0,0,0
0.00889013,136.882,135.621,134.044,0,0,0
0.00890669,136.882,135.623,134.046,0,0,0
0.00892324,136.882,135.624,134.047,0,0,0
0.0089398,136.883,135.626,134.048,0,0,0
0.00895635,136.883,135.627,134.05,0,0,0
0.00897291,136.884,135.629,134.051,0,0,0
0.00898946,136.884,135.631,134.053,0,0,0
0.00900602,136.884,135.632,134.054,0,0,0
0.00902258,136.885,135.634,134.055,0,0,0
0.00903913,136.885,135.635,134.057,0,0,0
0.00905569,136.885,135.637,134.058,0,0,0
0.00907224,136.886,135.638,134.06,0,0,0
0.0090888,136.886,135.64,134.061,0,0,0
0.00910535,136.887,135.641,134.063,0,0,0
0.00912191,136.887,135.643,134.064,0,0,0
0.00913846,136.887,135.644,134.066,0,0,0
0.00915502,136.888,135.646,134.067,0,0,0
0.00917157,136.888,135.647,134.069,0,0,0
0.00918813,136.888,135.649,134.07,0,0,0
0.00920468,136.889,135.651,134.072,0,0,0
0.00922124,136.889,135.652,134.073,0,0,0
0.00923779,136.889,135.654,134.074,0,0,0
0.00925435,136.89,135.655,134.076,0,0,0
0.0092709,136.89,135.657,134.077,0,0,0
0.00928746,136.89,135.658,134.079,0,0,0
0.00930401,136.891,135.66,134.08,0,0,0
0.00932057,136.891,135.661,134.082,0,0,0
0.00933712,136.892,135.663,134.083,0,0,0
0.00935368,136.892,135.664,134.084,0,0,0
0.00937023,136.892,135.666,134.086,0,0,0
0.00938679,136.893,135.667,134.087,0,0,0
0.00940334,136.893,135.669,134.089,0,0,0
0.0094199,136.893,135.67,134.09,0,0,0
0.00943645,136.894,135.671,134.092,0,0,0
0.00945301,136.894,135.673,134.093,0,0,0
0.00946957,136.894,135.674,134.095,0,0,0
0.00948612,136.895,135.676,134.096,0,0,0
0.00950268,136.895,135.677,134.098,0,0,0
